Player,Short Name,Team,Position Group,Competition,Speed,Acceleration,Agility,Endurance
Aaron Cresswell,A. Cresswell,Stoke City,Full Back,ENG - Championship,4.5,12.2,19.0,35.7
Adam Armstrong,A. Armstrong,Southampton,Center Forward,ENG - Championship,89.8,74.7,29.9,6.7
Adam Marušić,A. Marušić,Lazio,Full Back,ITA - Serie A,81.3,42.5,25.0,16.7
Adrien Rabiot,A. Rabiot,Milan,Midfield,ITA - Serie A,81.7,58.1,50.1,43.0
Adrien Thomasson,A. Thomasson,RC Lens,Midfield,FRA - Ligue 1,16.7,35.6,98.7,100.0
Aïssa Mandi,A. Mandi,LOSC Lille,Central Defender,FRA - Ligue 1,10.9,28.2,64.6,84.9
Alberto Grassi,A. Grassi,US Cremonese,Midfield,ITA - Serie A,19.1,30.4,29.5,86.0
Alejandro Grimaldo García,Álex Grimaldo,Bayer 04 Leverkusen,Full Back,GER - Bundesliga,12.0,39.0,66.8,91.3
Alessio Romagnoli,A. Romagnoli,Lazio,Central Defender,ITA - Serie A,1.5,22.4,20.3,52.2
Alex Iwobi,A. Iwobi,Fulham,Wide Attacker,ENG - Premier League,9.4,14.8,45.3,61.1
Alfonso Pedraza Sag ,Alfonso Pedraza,Villarreal CF,Full Back,ESP - LaLiga,70.5,51.8,48.0,83.3
Álvaro García Rivera,Álvaro García,Rayo Vallecano,Wide Attacker,ESP - LaLiga,80.1,94.6,79.7,37.1
André-Frank Zambo Anguissa,F. Anguissa,Napoli,Midfield,ITA - Serie A,21.0,24.5,62.0,65.7
André Miguel Valente Silva,André Silva,Elche CF,Center Forward,ESP - LaLiga,21.1,15.9,46.4,50.9
Aymeric  Laporte,Aymeric Laporte,Athletic Club de Bilbao,Central Defender,ESP - LaLiga,28.7,53.3,37.0,47.9
Barry Bannan,B. Bannan,Sheffield Wednesday,Midfield,ENG - Championship,66.3,44.5,9.0,3.7
Barry Bannan,B. Bannan,Sheffield Wednesday,Midfield,ENG - Championship,80.9,49.8,4.8,3.8
Ben Mee,B. Mee,Sheffield United,Central Defender,ENG - Championship,3.5,12.2,9.9,9.4
Benjamin André,B. André,LOSC Lille,Midfield,FRA - Ligue 1,25.1,30.2,36.1,31.0
Benjamin Pavard,B. Pavard,Olympique de Marseille,Central Defender,FRA - Ligue 1,26.5,23.4,59.7,60.3
Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva,Manchester City,Midfield,ENG - Premier League,28.0,49.6,86.0,95.3
Bertrand Isidore Traoré,B. Traoré,Sunderland,Wide Attacker,ENG - Premier League,17.0,28.3,45.4,51.9
Borja Mayoral Moya,Borja Mayoral,Getafe CF,Center Forward,ESP - LaLiga,2.7,13.3,52.3,39.7
Breel-Donald Embolo,B. Embolo,Stade Rennais FC,Center Forward,FRA - Ligue 1,53.0,79.2,30.8,10.2
Brendan Galloway,B. Galloway,Plymouth Argyle,Full Back,ENG - League One,62.6,51.9,57.6,36.7
Bruno Miguel Borges Fernandes,Bruno Fernandes,Manchester United,Midfield,ENG - Premier League,64.0,70.3,77.7,32.2
Bryan Cristante,B. Cristante,Roma,Midfield,ITA - Serie A,31.6,34.8,55.1,76.3
Callum McGregor,C. McGregor,Celtic FC,Midfield,SCO - Premiership,13.8,40.2,40.9,70.5
Callum Paterson,C. Paterson,Milton Keynes Dons,Center Forward,ENG - League Two,63.2,35.9,57.4,69.0
Callum Wilson,C. Wilson,West Ham United,Center Forward,ENG - Premier League,15.9,13.6,16.2,15.8
Calum Chambers,C. Chambers,Cardiff City,Central Defender,ENG - League One,13.7,40.6,42.9,80.9
Carlton Morris,C. Morris,Derby County FC,Center Forward,ENG - Championship,17.9,19.9,26.8,36.1
 Carlos Henrique José Francisco Venancio Casimiro,Casemiro,Manchester United,Midfield,ENG - Premier League,18.0,28.9,40.8,21.1
Cauley Woodrow,C. Woodrow,Wycombe Wanderers,Center Forward,ENG - League One,0.7,15.9,24.0,66.5
Chidozie Collins Awaziem,C. Awaziem,FC Nantes,Central Defender,FRA - Ligue 1,80.1,62.6,42.0,41.2
Christian  Dannemann Eriksen,C. Eriksen,VfL Wolfsburg,Wide Attacker,GER - Bundesliga,8.5,12.4,69.6,98.5
Christian Kabasele,C. Kabasele,Udinese,Central Defender,ITA - Serie A,68.8,37.9,45.9,17.8
Christian Pulišić,C. Pulišić,Milan,Center Forward,ITA - Serie A,33.4,38.3,46.1,91.5
Chris Cadden,C. Cadden,Hibernian,Full Back,SCO - Premiership,69.1,58.3,53.3,78.9
Christopher Nkunku,C. Nkunku,Milan,Center Forward,ITA - Serie A,35.1,51.1,15.1,53.2
Clark Robertson,C. Robertson,Dundee FC,Central Defender,SCO - Premiership,13.2,32.8,15.8,36.6
Clinton Mukoni Mata Pedro Lourenço,Clinton Mata,Olympique Lyonnais,Central Defender,FRA - Ligue 1,63.5,70.1,72.8,49.5
Daley Blind,D. Blind,Girona FC,Central Defender,ESP - LaLiga,3.1,18.0,86.9,69.3
Dan Burn,D. Burn,Newcastle United,Central Defender,ENG - Premier League,44.4,35.0,45.9,61.3
Danilo Cataldi,D. Cataldi,Lazio,Midfield,ITA - Serie A,9.2,40.9,59.6,89.7
Danny  Vieira da Costa,D. da Costa,1. FSV Mainz 05,Central Defender,GER - Bundesliga,76.6,53.4,63.4,76.9
Daniel Nii Tackie Mensah Welbeck,D. Welbeck,Brighton and Hove Albion,Center Forward,ENG - Premier League,7.4,24.9,47.2,41.2
Darnell Furlong,D. Furlong,Ipswich Town,Full Back,ENG - Championship,48.3,34.9,66.2,52.4
David Costas Cordal,David Costas,Real Oviedo,Central Defender,ESP - LaLiga,67.3,54.4,88.0,56.0
Davide Zappacosta,D. Zappacosta,Atalanta,Full Back,ITA - Serie A,76.8,56.1,41.4,84.6
Demarai Gray,D. Gray,Birmingham City,Wide Attacker,ENG - Championship,72.2,78.7,40.4,19.8
Diego Carlos Santos Silva,Diego Carlos,Como 1907,Central Defender,ITA - Serie A,65.9,34.3,11.1,21.5
Dimitri Foulquier,D. Foulquier,Valencia CF,Full Back,ESP - LaLiga,79.2,66.5,21.7,2.2
Djibril Sidibé,D. Sidibé,Toulouse FC,Full Back,FRA - Ligue 1,8.2,22.4,36.9,56.6
Domenico Berardi,D. Berardi,Sassuolo,Wide Attacker,ITA - Serie A,36.2,45.0,51.3,26.1
Dominik Kohr,D. Kohr,1. FSV Mainz 05,Central Defender,GER - Bundesliga,90.3,39.0,26.9,72.9
Florian Lejeune,F. Lejeune,Rayo Vallecano,Central Defender,ESP - LaLiga,41.6,67.7,65.1,41.5
Florian Thauvin,F. Thauvin,RC Lens,Midfield,FRA - Ligue 1,55.0,67.0,58.0,76.2
Francesco Acerbi,F. Acerbi,Inter Milan,Central Defender,ITA - Serie A,17.9,23.6,57.6,65.8
Gautier Lloris,G. Lloris,Le Havre AC,Central Defender,FRA - Ligue 1,17.3,31.9,76.1,70.5
Gerard Moreno Balaguero ,Gerard Moreno,Villarreal CF,Center Forward,ESP - LaLiga,0.4,31.4,51.1,73.0
Giuseppe Pezzella,G. Pezzella,US Cremonese,Full Back,ITA - Serie A,56.8,83.4,59.4,55.6
Gonçalo Manuel Ganchinho Guedes,Gonçalo Guedes,Real Sociedad,Wide Attacker,ESP - LaLiga,55.4,55.1,65.9,51.4
Granit Xhaka,G. Xhaka,Sunderland,Midfield,ENG - Premier League,44.5,36.3,14.5,39.9
Granit Xhaka,G. Xhaka,Sunderland,Midfield,ENG - Premier League,63.0,34.5,36.5,51.6
Grant Hanley,G. Hanley,Hibernian,Central Defender,SCO - Premiership,18.3,21.0,33.0,19.6
Greg Docherty,G. Docherty,Charlton Athletic,Midfield,ENG - Championship,81.2,66.6,54.3,57.3
Hakan Çalhanoğlu,H. Çalhanoğlu,Inter Milan,Midfield,ITA - Serie A,48.9,31.3,42.3,84.4
Haris Tabaković,H. Tabaković,Borussia Mönchengladbach,Center Forward,GER - Bundesliga,81.7,45.8,48.1,81.1
Harry Kane,H. Kane,FC Bayern Munchen,Center Forward,GER - Bundesliga,5.1,15.8,9.0,67.5
Héctor Bellerín Moruno,Héctor Bellerín,Real Betis Balompié,Full Back,ESP - LaLiga,32.9,49.8,48.6,45.4
Henrikh Hamlet Mkhitaryan,H. Hamlet Mkhitaryan,Inter Milan,Midfield,ITA - Serie A,86.2,78.7,66.2,88.9
Jack Grealish,J. Grealish,Everton,Wide Attacker,ENG - Premier League,20.3,44.6,29.6,7.2
Jakub Piotrowski,J. Piotrowski,Udinese,Midfield,ITA - Serie A,73.1,74.7,88.8,85.3
James Collins,J. Collins,Lincoln City FC,Center Forward,ENG - League One,12.2,29.5,59.5,72.5
James McClean,J. McClean,Wrexham FC,Full Back,ENG - Championship,9.8,3.8,46.5,94.1
Jamie Vardy,J. Vardy,US Cremonese,Center Forward,ITA - Serie A,77.6,60.7,33.7,23.0
Jannik Vestergaard,J. Vestergaard,Leicester City,Central Defender,ENG - Championship,7.2,28.3,9.8,1.8
Jean-Luc Mamadou Diarra Dompé ,J. Dompé,Hamburger SV,Wide Attacker,GER - Bundesliga,54.9,47.7,3.6,1.6
Jean-Philippe Gbamin,J. Gbamin,FC Metz,Central Defender,FRA - Ligue 1,46.3,43.4,66.8,35.1
Jeremy Loteteka Bokila,J. Bokila,Livingston FC,Center Forward,SCO - Premiership,54.2,23.8,18.3,34.2
Jeremy Toljan,J. Toljan,Levante UD,Full Back,ESP - LaLiga,86.9,62.1,59.8,21.6
Joachim Christian Andersen,J. Andersen,Fulham,Central Defender,ENG - Premier League,9.1,21.0,48.9,64.4
Johan Andrés Mojica Palacio,J. Mojica,RCD Mallorca,Full Back,ESP - LaLiga,81.6,65.4,37.4,4.3
John McGinn,J. McGinn,Aston Villa,Wide Attacker,ENG - Premier League,24.6,23.1,20.7,24.4
John Souttar,J. Souttar,Rangers,Central Defender,SCO - Premiership,60.5,30.0,22.7,16.5
Jordan Ayew,J. Ayew,Leicester City,Center Forward,ENG - Championship,35.2,51.3,70.2,76.3
Jordan Henderson,J. Henderson,Brentford FC,Midfield,ENG - Premier League,51.3,39.3,51.8,62.2
Jordan Roberts,J. Roberts,Stevenage FC,Wide Attacker,ENG - League One,66.6,58.4,52.1,36.4
José Luis Gayá Peña,José Gayá,Valencia CF,Full Back,ESP - LaLiga,58.8,64.4,32.9,12.8
José Salomón Rondón Giménez,S. Rondón,Real Oviedo,Center Forward,ESP - LaLiga,25.7,34.9,25.2,16.7
Josh Magennis,J. Magennis,Exeter City FC,Center Forward,ENG - League One,18.2,44.9,12.0,15.6
Joshua Kimmich,J. Kimmich,FC Bayern Munchen,Midfield,GER - Bundesliga,32.0,42.3,34.9,78.4
