"Player";"Short Name";"Player ID";"Birthdate";"Team";"Team ID";"Competition";"Competition ID";"Season";"Season ID";"Position";"Position Group";"Minutes";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"Distance";"M/min";"Running Distance";"HSR Distance";"HSR Count";"Sprint Distance";"Sprint Count";"HI Distance";"HI Count";"PSV-99";"TOP 5 PSV-99";"Medium Acceleration Count";"High Acceleration Count";"Medium Deceleration Count";"High Deceleration Count";"Explosive Acceleration to HSR Count";"TOP 3 Time to HSR";"TOP 3 Time to HSR post-COD";"Explosive Acceleration to Sprint Count";"TOP 3 Time to Sprint";"TOP 3 Time to Sprint post-COD";"Change of Direction Count";"TOP 3 Time to 505 around 90";"TOP 3 Time to 505 around 180";"Distance P90";"M/min P90";"Running Distance P90";"HSR Distance P90";"HSR Count P90";"Sprint Distance P90";"Sprint Count P90";"HI Distance P90";"HI Count P90";"Medium Acceleration Count P90";"High Acceleration Count P90";"Medium Deceleration Count P90";"High Deceleration Count P90";"Explosive Acceleration to HSR Count P90";"Explosive Acceleration to Sprint Count P90";"Change of Direction Count P90"
"Aaron Cresswell";"A. Cresswell";"82";"1989-12-15";"Stoke City";"46";"ENG - Championship";"31";"2025/2026";"129";"LB";"Full Back";"99.6";"16";"0";"10688.0";"107.31";"1592.31";"617.81";"51.94";"140.0";"7.94";"757.81";"59.88";"28.01";"28.88";"117.38";"6.06";"92.06";"18.38";"2.69";"0.75";"0.87";"0.62";"1.58";"null";"29.75";"2.03";"2.8";"9657.93";"107.31";"1438.85";"558.27";"46.93";"126.51";"7.17";"684.78";"54.1";"106.06";"5.48";"83.19";"16.6";"2.43";"0.56";"26.88"
"Adam Armstrong";"A. Armstrong";"168";"1997-02-10";"Southampton";"58";"ENG - Championship";"31";"2025/2026";"129";"CF";"Center Forward";"85.68";"18";"0";"8653.06";"101.0";"989.5";"484.61";"58.11";"271.28";"15.0";"755.89";"73.11";"30.91";"31.9";"92.78";"8.89";"78.11";"18.0";"6.78";"0.62";"0.69";"3.22";"1.16";"1.36";"32.94";"1.94";"2.8";"9089.68";"101.0";"1039.43";"509.06";"61.04";"284.97";"15.76";"794.03";"76.8";"97.46";"9.34";"82.05";"18.91";"7.12";"3.38";"34.61"
"Adam Marušić";"A. Marušić";"196";"1992-10-17";"Lazio";"133";"ITA - Serie A";"5";"2025/2026";"129";"RB";"Full Back";"97.3";"16";"0";"10413.25";"107.02";"1270.69";"521.38";"54.5";"199.44";"10.44";"720.81";"64.94";"30.22";"31.86";"108.19";"7.06";"90.56";"17.38";"5.31";"0.63";"0.73";"2.38";"1.25";"1.61";"27.31";"1.98";"2.7";"9631.58";"107.02";"1175.3";"482.24";"50.41";"184.47";"9.65";"666.7";"60.06";"100.07";"6.53";"83.76";"16.07";"4.91";"2.2";"25.26"
"Adrien Rabiot";"A. Rabiot";"277";"1995-04-03";"Milan";"140";"ITA - Serie A";"5";"2025/2026";"129";"LM";"Midfield";"97.89";"14";"0";"11334.5";"115.78";"1771.21";"709.5";"64.93";"235.93";"12.57";"945.43";"77.5";"28.77";"29.98";"119.0";"5.5";"105.21";"15.71";"3.86";"0.7";"0.72";"1.29";"1.39";"1.58";"39.93";"2.01";"2.62";"10420.63";"115.78";"1628.41";"652.29";"59.69";"216.91";"11.56";"869.2";"71.25";"109.41";"5.06";"96.73";"14.45";"3.55";"1.18";"36.71"
"Adrien Thomasson";"A. Thomasson";"281";"1993-12-10";"RC Lens";"85";"FRA - Ligue 1";"3";"2025/2026";"129";"LM";"Midfield";"97.24";"15";"0";"13061.27";"134.31";"2984.07";"1123.6";"89.8";"175.4";"11.8";"1299.0";"101.6";"26.79";"27.64";"138.73";"5.6";"110.6";"27.67";"3.27";"0.74";"0.78";"0.27";"1.53";"null";"86.07";"1.83";"2.42";"12088.24";"134.31";"2761.76";"1039.89";"83.11";"162.33";"10.92";"1202.23";"94.03";"128.4";"5.18";"102.36";"25.61";"3.02";"0.25";"79.65"
"Aïssa Mandi";"A. Mandi";"314";"1991-10-22";"LOSC Lille";"78";"FRA - Ligue 1";"3";"2025/2026";"129";"LCB";"Central Defender";"93.79";"13";"0";"10273.69";"109.54";"1343.23";"423.69";"35.38";"94.77";"5.69";"518.46";"41.08";"27.56";"28.9";"101.85";"4.46";"78.92";"11.23";"2.77";"0.74";"0.81";"0.92";"1.48";"1.7";"28.85";"2.05";"2.86";"9858.3";"109.54";"1288.92";"406.56";"33.95";"90.94";"5.46";"497.5";"39.42";"97.73";"4.28";"75.73";"10.78";"2.66";"0.89";"27.68"
"Alberto Grassi";"A. Grassi";"375";"1995-03-07";"US Cremonese";"771";"ITA - Serie A";"5";"2025/2026";"129";"DM";"Midfield";"79.28";"10";"0";"10039.5";"126.63";"1765.8";"561.7";"46.0";"111.4";"6.4";"673.1";"52.4";"27.0";"27.54";"95.9";"2.4";"87.4";"9.9";"1.0";"0.93";"null";"0.0";"null";"null";"28.7";"2.04";"2.76";"11397.01";"126.63";"2004.57";"637.65";"52.22";"126.46";"7.27";"764.11";"59.49";"108.87";"2.72";"99.22";"11.24";"1.14";"0.0";"32.58"
"Alejandro Grimaldo García";"Álex Grimaldo";"413";"1995-09-20";"Bayer 04 Leverkusen";"102";"GER - Bundesliga";"6";"2025/2026";"129";"LWB";"Full Back";"97.94";"14";"0";"12040.64";"122.94";"1854.29";"708.0";"65.71";"199.29";"11.93";"907.29";"77.64";"28.47";"29.6";"121.14";"6.43";"103.36";"19.86";"4.86";"0.65";"0.69";"1.29";"1.31";"1.36";"52.14";"1.98";"2.74";"11064.45";"122.94";"1703.95";"650.6";"60.39";"183.13";"10.96";"833.73";"71.35";"111.32";"5.91";"94.98";"18.25";"4.46";"1.18";"47.92"
"Alessio Romagnoli";"A. Romagnoli";"480";"1995-01-12";"Lazio";"133";"ITA - Serie A";"5";"2025/2026";"129";"LCB";"Central Defender";"97.49";"19";"0";"10319.05";"105.85";"1227.47";"370.42";"31.63";"60.11";"3.42";"430.53";"35.05";"26.7";"28.1";"98.21";"4.58";"85.0";"8.42";"2.63";"0.76";"0.86";"0.53";"1.61";"null";"19.0";"2.24";"2.89";"9526.22";"105.85";"1133.16";"341.96";"29.2";"55.49";"3.16";"397.45";"32.36";"90.66";"4.23";"78.47";"7.77";"2.43";"0.49";"17.54"
"Alex Iwobi";"A. Iwobi";"494";"1996-05-03";"Fulham";"48";"ENG - Premier League";"1";"2025/2026";"129";"LW";"Wide Attacker";"87.99";"9";"0";"9843.78";"111.88";"1505.78";"631.44";"61.33";"177.89";"11.11";"809.33";"72.44";"28.3";"29.0";"114.56";"7.56";"98.56";"16.44";"5.56";"0.77";"0.81";"0.56";"1.77";"null";"45.33";"1.91";"2.92";"10068.77";"111.88";"1540.19";"645.88";"62.74";"181.95";"11.37";"827.83";"74.1";"117.17";"7.73";"100.81";"16.82";"5.68";"0.57";"46.37"
